@relation Acc_Data_compiled
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute label {A,B,C,D,E}
@data
363.0,285.0,298.0,376.0,222.0,246.0,A
362.0,284.0,298.0,375.0,223.0,246.0,A
362.0,285.0,299.0,375.0,222.0,247.0,A
362.0,285.0,299.0,374.0,222.0,246.0,A
364.0,284.0,298.0,375.0,222.0,247.0,A
363.0,285.0,299.0,375.0,222.0,247.0,A
363.0,285.0,299.0,375.0,222.0,248.0,A
363.0,285.0,299.0,376.0,222.0,246.0,A
363.0,285.0,299.0,375.0,223.0,247.0,A
363.0,284.0,298.0,374.0,222.0,247.0,A
361.0,285.0,298.0,375.0,221.0,246.0,A
362.0,285.0,298.0,377.0,221.0,248.0,A
364.0,285.0,298.0,376.0,221.0,248.0,A
365.0,284.0,298.0,374.0,222.0,246.0,A
362.0,284.0,299.0,374.0,222.0,245.0,A
362.0,284.0,298.0,375.0,222.0,246.0,A
362.0,284.0,299.0,375.0,222.0,246.0,A
362.0,285.0,298.0,375.0,222.0,246.0,A
361.0,285.0,299.0,375.0,222.0,247.0,A
362.0,284.0,299.0,375.0,221.0,246.0,A
362.0,284.0,299.0,374.0,221.0,247.0,A
362.0,285.0,299.0,374.0,221.0,247.0,A
363.0,285.0,298.0,375.0,222.0,247.0,A
363.0,284.0,300.0,376.0,222.0,246.0,A
363.0,285.0,298.0,375.0,223.0,248.0,A
362.0,284.0,298.0,375.0,222.0,247.0,A
363.0,284.0,298.0,376.0,223.0,247.0,A
363.0,284.0,298.0,375.0,222.0,247.0,A
363.0,284.0,298.0,375.0,222.0,246.0,A
362.0,284.0,298.0,375.0,222.0,247.0,A
363.0,285.0,298.0,375.0,223.0,247.0,A
363.0,285.0,298.0,376.0,222.0,247.0,A
363.0,285.0,298.0,375.0,222.0,246.0,A
362.0,285.0,298.0,376.0,222.0,246.0,A
361.0,284.0,303.0,375.0,218.0,244.0,A
361.0,284.0,305.0,375.0,218.0,244.0,A
361.0,284.0,302.0,375.0,219.0,246.0,A
362.0,284.0,303.0,375.0,218.0,243.0,A
360.0,284.0,304.0,375.0,218.0,245.0,A
361.0,284.0,303.0,375.0,217.0,244.0,A
360.0,284.0,304.0,375.0,218.0,244.0,A
360.0,284.0,305.0,374.0,217.0,244.0,A
360.0,283.0,304.0,374.0,217.0,244.0,A
361.0,284.0,304.0,374.0,219.0,243.0,A
360.0,284.0,304.0,374.0,218.0,244.0,A
360.0,284.0,304.0,374.0,218.0,243.0,A
361.0,284.0,304.0,374.0,219.0,245.0,A
361.0,283.0,305.0,374.0,217.0,245.0,A
360.0,284.0,305.0,374.0,217.0,244.0,A
361.0,284.0,305.0,373.0,218.0,244.0,A
360.0,285.0,305.0,373.0,217.0,243.0,A
360.0,284.0,305.0,374.0,218.0,244.0,A
359.0,284.0,303.0,374.0,218.0,242.0,A
360.0,284.0,305.0,374.0,217.0,244.0,A
361.0,284.0,304.0,374.0,215.0,242.0,A
361.0,283.0,303.0,374.0,218.0,243.0,A
361.0,284.0,303.0,374.0,218.0,243.0,A
360.0,285.0,303.0,374.0,217.0,244.0,A
361.0,284.0,305.0,374.0,216.0,244.0,A
360.0,284.0,303.0,375.0,217.0,243.0,A
361.0,283.0,304.0,373.0,218.0,242.0,A
361.0,284.0,305.0,373.0,218.0,243.0,A
360.0,283.0,304.0,374.0,218.0,242.0,A
360.0,283.0,305.0,374.0,218.0,242.0,A
359.0,284.0,304.0,374.0,218.0,242.0,A
359.0,284.0,305.0,374.0,217.0,244.0,A
359.0,284.0,304.0,374.0,217.0,243.0,A
360.0,284.0,305.0,373.0,217.0,243.0,A
359.0,283.0,305.0,373.0,217.0,244.0,A
361.0,283.0,305.0,373.0,218.0,242.0,A
361.0,283.0,305.0,373.0,217.0,244.0,A
360.0,283.0,304.0,374.0,217.0,242.0,A
361.0,283.0,303.0,375.0,217.0,243.0,A
360.0,284.0,305.0,374.0,217.0,242.0,A
360.0,283.0,304.0,375.0,217.0,242.0,A
359.0,283.0,304.0,374.0,218.0,244.0,A
360.0,283.0,304.0,374.0,217.0,243.0,A
361.0,284.0,304.0,375.0,218.0,241.0,A
360.0,284.0,304.0,375.0,217.0,242.0,A
361.0,284.0,304.0,374.0,217.0,243.0,A
361.0,284.0,303.0,374.0,217.0,243.0,A
360.0,283.0,304.0,374.0,218.0,244.0,A
361.0,283.0,304.0,374.0,217.0,243.0,A
361.0,283.0,304.0,373.0,217.0,243.0,A
360.0,284.0,305.0,374.0,217.0,242.0,A
360.0,284.0,301.0,373.0,217.0,241.0,A
360.0,284.0,303.0,374.0,217.0,241.0,A
360.0,283.0,303.0,374.0,217.0,244.0,A
360.0,284.0,304.0,374.0,217.0,243.0,A
359.0,284.0,303.0,374.0,217.0,245.0,A
361.0,284.0,305.0,374.0,217.0,244.0,A
360.0,285.0,305.0,374.0,218.0,244.0,A
360.0,284.0,303.0,374.0,217.0,243.0,A
361.0,284.0,304.0,373.0,217.0,243.0,A
360.0,284.0,303.0,374.0,217.0,243.0,A
360.0,284.0,304.0,374.0,217.0,243.0,A
360.0,284.0,303.0,373.0,217.0,242.0,A
361.0,285.0,303.0,373.0,217.0,241.0,A
361.0,284.0,302.0,374.0,216.0,242.0,A
361.0,284.0,304.0,373.0,218.0,242.0,A
361.0,284.0,303.0,374.0,217.0,243.0,A
360.0,284.0,304.0,374.0,218.0,243.0,A
361.0,284.0,304.0,373.0,217.0,243.0,A
361.0,285.0,302.0,374.0,216.0,243.0,A
360.0,284.0,304.0,375.0,217.0,243.0,A
360.0,285.0,303.0,374.0,217.0,244.0,A
360.0,285.0,304.0,374.0,217.0,244.0,A
360.0,285.0,303.0,374.0,216.0,244.0,A
360.0,284.0,304.0,374.0,216.0,243.0,A
360.0,285.0,303.0,374.0,216.0,243.0,A
360.0,285.0,302.0,372.0,215.0,241.0,A
361.0,284.0,304.0,372.0,215.0,242.0,A
360.0,285.0,303.0,373.0,217.0,242.0,A
361.0,285.0,302.0,374.0,217.0,244.0,A
360.0,285.0,304.0,374.0,217.0,246.0,A
360.0,285.0,304.0,375.0,217.0,246.0,A
359.0,285.0,305.0,376.0,217.0,247.0,A
359.0,285.0,305.0,375.0,218.0,246.0,A
360.0,285.0,304.0,374.0,217.0,243.0,A
360.0,284.0,304.0,375.0,217.0,241.0,A
361.0,284.0,303.0,373.0,217.0,242.0,A
360.0,284.0,303.0,373.0,216.0,241.0,A
359.0,285.0,304.0,374.0,215.0,242.0,A
360.0,285.0,303.0,374.0,215.0,243.0,A
361.0,285.0,303.0,373.0,217.0,242.0,A
361.0,285.0,303.0,372.0,216.0,243.0,A
360.0,284.0,304.0,373.0,216.0,243.0,A
361.0,285.0,303.0,375.0,215.0,244.0,A
361.0,285.0,304.0,374.0,215.0,244.0,A
361.0,285.0,304.0,374.0,216.0,244.0,A
360.0,285.0,305.0,373.0,216.0,243.0,A
359.0,284.0,303.0,373.0,216.0,245.0,A
358.0,286.0,305.0,373.0,216.0,244.0,A
359.0,286.0,306.0,373.0,216.0,245.0,A
361.0,284.0,303.0,375.0,216.0,243.0,A
362.0,283.0,302.0,376.0,216.0,241.0,A
361.0,282.0,302.0,373.0,215.0,239.0,A
360.0,283.0,302.0,373.0,215.0,239.0,A
361.0,282.0,301.0,373.0,215.0,241.0,A
361.0,284.0,303.0,374.0,214.0,241.0,A
361.0,283.0,302.0,374.0,216.0,242.0,A
